1,ＥＸ化フラグ
8,陰核成長剤
9,産卵促進剤
10,ローション
11,媚薬
12,利尿剤
13,賢者の血
14,興奮剤
15,坐剤
16,排卵誘発剤
17,緊急避妊薬
18,鈴蘭の毒
19,昆虫採集セットの薬

20,Ｖ系装着器具
21,クスコ
25,Ａ系装着器具
26,氷柱
30,Ｃ系装着器具
31,コンドーム
32,Ｕ系装着器具
35,Ｂ系装着器具
36,サラシ

40,緊縛関連
41,目装着器具
42,口装着器具
43,三角木馬乗馬中
44,鼻装着器具
45,耳装着器具

50,ビデオ撮影
51,ビデオ鑑賞
52,野外プレイ
53,お風呂場プレイ
54,シャワープレイ
55,特殊風呂入浴中
56,羞恥プレイ
57,お医者さんプレイ
58,オムツプレイ
59,コスチュームプレイ
68,焦らしプレイ
69,射精止め

70,暗闇
71,時間止め
72,幽明の苦輪
73,狂気の目
74,読心
75,縮小化
76,巨大化
77,精神制御系
78,YASAIモードで使用
79,房中術
80,超凝視

90,触手調教
91,触手強制回復
92,触手催眠
93,触手膣内産卵
94,触手腸内産卵
95,キャラ触手
96,触手チキチキ
